Capital,State,Capital,State,Miles,Seconds
Oklahoma City,OK,Raleigh,NC,1215,64439
Oklahoma City,OK,Bismarck,ND,928,52692
Oklahoma City,OK,Lincoln,NE,436,23130
Oklahoma City,OK,Concord,NH,1670,91958
Oklahoma City,OK,Trenton,NJ,1405,75336
Oklahoma City,OK,Santa Fe,NM,535,28065
Oklahoma City,OK,Carson City,NV,1547,82491
Oklahoma City,OK,Albany,NY,1527,81245
Oklahoma City,OK,Columbus,OH,918,48656
Salem,OR,Montgomery,AL,2624,139899
Salem,OR,Little Rock,AR,2241,117084
Salem,OR,Phoenix,AZ,1290,70959
Salem,OR,Sacramento,CA,536,30105
Salem,OR,Denver,CO,1286,68820
Salem,OR,Hartford,CT,3040,161008
Salem,OR,Dover,DE,2933,155941
Salem,OR,Tallahassee,FL,2835,153081
Salem,OR,Atlanta,GA,2640,139347
Salem,OR,Des Moines,IA,1832,95795
Salem,OR,Boise,ID,475,26183
Salem,OR,Springfield,IL,2077,109707
Salem,OR,Indianapolis,IN,2308,121128
Salem,OR,Topeka,KS,1815,95261
Salem,OR,Frankfort,KY 40601,2398,126748
Salem,OR,Baton Rouge,LA,2487,133788
Salem,OR,Boston,MA,3134,165973
Salem,OR,Annapolis,MD,2872,152028
Salem,OR,Augusta,ME 04330,3287,173902
Salem,OR,Lansing,MI,2366,124344
Salem,OR,St Paul,MN,1786,93408
Salem,OR,Jefferson City,MO,1997,105366
Salem,OR,Jackson,MS,2496,132049
Salem,OR,Helena,MT,706,39004
Salem,OR,Raleigh,NC,2909,154672
Salem,OR,Bismarck,ND,1350,70939
Salem,OR,Lincoln,NE,1647,86347
Salem,OR,Concord,NH,3111,167532
Salem,OR,Trenton,NJ,2927,154445
Salem,OR,Santa Fe,NM,1434,78958
Salem,OR,Carson City,NV,517,31132
Salem,OR,Albany,NY,2968,156819
Salem,OR,Columbus,OH,2480,130343
Salem,OR,Oklahoma City,OK,1953,102426
Harrisburg,PA,Montgomery,AL,882,46935
Harrisburg,PA,Little Rock,AR,1067,56729
Harrisburg,PA,Phoenix,AZ,2244,119988
Harrisburg,PA,Sacramento,CA,2688,141617
Harrisburg,PA,Denver,CO,1629,86728
Harrisburg,PA,Hartford,CT,292,16819
Harrisburg,PA,Dover,DE,129,9554
Harrisburg,PA,Tallahassee,FL,981,51772
